Method,Rank,1-23 PSNR,1-23 SSIM,1-23 LPIPS,1-23 Size [MB],1-42 PSNR,1-42 SSIM,1-42 LPIPS,1-42 Size [MB],1-71 PSNR,1-71 SSIM,1-71 LPIPS,1-71 Size [MB],1-73 PSNR,1-73 SSIM,1-73 LPIPS,1-73 Size [MB],1-78 PSNR,1-78 SSIM,1-78 LPIPS,1-78 Size [MB],1-100 PSNR,1-100 SSIM,1-100 LPIPS,1-100 Size [MB],2-6 PSNR,2-6 SSIM,2-6 LPIPS,2-6 Size [MB],2-8 PSNR,2-8 SSIM,2-8 LPIPS,2-8 Size [MB],3-7 PSNR,3-7 SSIM,3-7 LPIPS,3-7 Size [MB],3-11 PSNR,3-11 SSIM,3-11 LPIPS,3-11 Size [MB],4-10 PSNR,4-10 SSIM,4-10 LPIPS,4-10 Size [MB],4-25 PSNR,4-25 SSIM,4-25 LPIPS,4-25 Size [MB],4-28 PSNR,4-28 SSIM,4-28 LPIPS,4-28 Size [MB],5-6 PSNR,5-6 SSIM,5-6 LPIPS,5-6 Size [MB],5-13 PSNR,5-13 SSIM,5-13 LPIPS,5-13 Size [MB],6-7 PSNR,6-7 SSIM,6-7 LPIPS,6-7 Size [MB],6-22 PSNR,6-22 SSIM,6-22 LPIPS,6-22 Size [MB],6-26 PSNR,6-26 SSIM,6-26 LPIPS,6-26 Size [MB],6-31 PSNR,6-31 SSIM,6-31 LPIPS,6-31 Size [MB],6-44 PSNR,6-44 SSIM,6-44 LPIPS,6-44 Size [MB]
3DGS,10.25,25.4451046,0.8130987,0.23367,600,28.4032269,0.850591,0.2289681,601,27.6132069,0.8550111,0.2190333,602,27.2474995,0.8436828,0.2195741,603,26.0637169,0.8376588,0.2294188,604,28.614851,0.8911851,0.1686292,605,27.7587795,0.867841,0.1738292,606,27.7340374,0.8593283,0.2943889,607,27.513731,0.8098341,0.2697384,608,27.5717831,0.8336676,0.2312405,609,27.0242538,0.7996438,0.2789991,610,27.5598736,0.9213132,0.1215685,611,26.9831924,0.8975689,0.2813002,612,28.0080204,0.9141932,0.1438045,613,29.3997688,0.9017505,0.18889157,614,32.5996933,0.9511339,0.1266638,615,32.4569855,0.9416927,0.0962328,616,26.7684364,0.8308449,0.2179523,617,27.0809269,0.8885664,0.1615317,618,28.2477055,0.8648853,0.2109061,619
TC-GS,10.3333333333333,23.7175433095296,0.72070632815361,0.341824867924054,17.9476470947266,26.812925491333,0.781826348702113,0.323188419342041,17.2571420669556,26.3168592325846,0.804942067066828,0.296910514930884,13.9059829711914,26.3296321614583,0.801028300126394,0.278276010255019,19.1600799560547,23.4121815745036,0.737252054611842,0.33750737965107,17.7065563201904,26.4309372965494,0.825587145884831,0.261129608154296,18.4291982650757,24.8452127583822,0.744931523799896,0.321618512074153,15.6701498031616,27.2838753890991,0.837866070270538,0.322725288073222,8.77299118041992,26.1170604197184,0.748250694672267,0.342697542309761,16.2430248260498,25.0580563100179,0.720579785505931,0.356920577486356,13.5737037658691,25.9884900283813,0.712302929162979,0.382682318091393,18.599494934082,23.2289302317301,0.776522248586019,0.295595897436142,18.6991195678711,27.3040506617228,0.884813990990321,0.302497900327047,7.32670307159424,23.179709777832,0.737009589274724,0.370178237756093,19.7583732604981,27.1010849253337,0.817212917804718,0.298366775810719,14.5786266326904,29.0561433283488,0.896759134531021,0.236101760268211,5.600585938,29.0671060943604,0.864844739437103,0.208123057186604,18.7706022262573,25.6550532150269,0.768381083011627,0.318900491297245,21.6506986618042,24.1472484207153,0.708530874649684,0.338886790474256,19.7251949310303,25.2311117045085,0.809559572140376,0.269526203274727,16.6129779815674
compact3dgs,11.3333333333333,24.0334014892578,0.762911677360535,0.285099297761917,66.945979,26.0788078308106,0.774013042449951,0.326453894376755,45.828817,26.1323699951172,0.809168577194214,0.280060172080994,44.641146,25.6281909942627,0.799523174762726,0.267474830150604,56.018124,24.3786582946777,0.786698579788208,0.28117236495018,59.62294,26.5190124511719,0.84801834821701,0.214857533574104,76.30657,25.7477855682373,0.816466391086578,0.225173905491829,86.119701,26.8144302368164,0.835383355617523,0.322180092334747,33.982282,26.0880584716797,0.770417392253876,0.311440467834473,45.809675,25.598596572876,0.768923103809357,0.290898680686951,55.081662,25.4008750915527,0.744709372520447,0.318541169166565,51.398782,23.719331741333,0.845816254615784,0.208118841052055,135.338662,25.9769134521484,0.87467497587204,0.310636281967163,32.366126,25.0972537994385,0.851503729820251,0.21748374402523,146.076678,26.9063682556152,0.843681514263153,0.248152673244476,57.83573,29.385591506958,0.915989279747009,0.166503921151161,50.466587,29.3987197875977,0.901578783988953,0.141570404171944,83.908188,25.7663116455078,0.802119672298431,0.26288902759552,87.527182,24.7763290405273,0.764730095863342,0.275389850139618,68.280683,25.1712398529053,0.838799655437469,0.210358276963234,75.08104
Minisplatting,11.6666666666667,23.4278118896484,0.727312610149384,0.326944482823213,27.7728681564331,26.1941411590576,0.783384318351746,0.310028497477372,24.4214029312134,25.9669567489624,0.805066533088684,0.277915291488171,21.2559499740601,25.1855644098918,0.788149404923121,0.283899528980255,21.8377447128296,23.6031776682536,0.755797315438588,0.314598486721516,21.2550573348999,25.4829290644328,0.830582603216171,0.237309490541617,25.4741163253784,25.1062907663981,0.784601573546728,0.265611310700575,30.3046941757202,26.7570506286621,0.835398027102152,0.322811065812906,13.3315906524658,25.59115747,0.756200102965037,0.332734041810036,21.8058071136475,25.3992171096802,0.751665823062261,0.308762732048829,26.1069173812866,25.2011665471395,0.735105981826782,0.341248774925868,28.6099510192871,23.9835112889608,0.812979381879171,0.247771333654722,44.292875289917,25.9586562347412,0.878879014253616,0.303680515388648,11.9101829528809,23.9185977935791,0.778020810286204,0.308660974303881,44.7489852905273,26.9853689320882,0.841314034064611,0.244307748874029,29.8971881866455,29.7866595204671,0.924557595252991,0.163533320625623,14.1219482421875,28.4495158004761,0.879389037291209,0.176874033312003,32.0477027893066,25.0907968393962,0.759765225251516,0.3236956179142,29.1018505096436,24.051387125651,0.725551935831706,0.323088299234708,26.1582012176514,24.6701356379191,0.814395135641098,0.243635727663835,25.7917013168335
FC-GS,11.8333333333333,19.3829,0.6689,0.2003,54.8948,21.2444,0.7107,0.2115,32.3134,21.7253,0.7397,0.2012,30.9554,19.9182,0.7038,0.1965,33.698,19.5061,0.6766,0.2355,47.1068,21.0179,0.7643,0.1451,47.6203,20.2452,0.7001,0.1798,59.5996,21.3604,0.7835,0.2262,34.1305,20.4102,0.6717,0.2868,27.7172,22.1848,0.7441,0.1871,51.9836,21.9438,0.6794,0.2144,59.7128,18.734,0.6755,0.2015,77.6794,20.5694,0.8149,0.2214,38.3688,19.5742,0.6351,0.251,98.9615,22.4549,0.7614,0.1628,41.2069,22.2494,0.8053,0.1166,20.7502,22.0309,0.77,0.136,41.7658,21.4367,0.7235,0.1892,57.5236,20.0385,0.6681,0.2049,57.524,19.9078,0.7176,0.1788,48.9398
Lightgaussian,12.6666666666667,24.3204114659627,0.76403156876564,0.292167327503363,392.137554168701,26.259180577596,0.774091864824295,0.339744149843852,175.644396781921,26.5745859400431,0.818541438579559,0.27646808197101,264.895458221435,25.4880928039551,0.792091262936592,0.291115908722083,224.204646110535,24.3521713511149,0.777822402318319,0.310429186522961,281.696743011475,26.659013710022,0.85044992963473,0.2279270195961,361.130458831787,26.2159747314453,0.818567169904709,0.236289896865686,407.525447845459,26.5858367284139,0.832720690170924,0.331137087245782,111.16623210907,25.9794254048665,0.750432220300039,0.347052689393361,165.273379325867,26.066362101237,0.772589184045792,0.298674739698569,246.503162384033,25.464441057841,0.727875900268555,0.351235557794571,194.878672599793,26.2388438161214,0.887305976947149,0.16190763682127,654.902004241943,26.0439099502563,0.878582895994186,0.308605177601179,119.237650871277,26.5076281865438,0.874024767478307,0.194826174179713,800.51061630249,27.935829111735,0.86307711482048,0.235882785220941,282.480541229248,30.644114634196,0.935274620850881,0.156696108877659,165.864893913269,30.3111958567301,0.910388555924098,0.143090983827909,412.095317840576,26.2648156102498,0.799066502253215,0.294277614851793,385.429859161377,25.0390466054281,0.769880741834641,0.28731442173322,335.330631256104,25.6480187225342,0.844355823198954,0.220999523599942,347.000568389893
gaussianspa,13.3333333333333,23.4426307678223,0.723176717758179,0.333889603614807,106.795977592468,26.6508369445801,0.789682149887085,0.303628116846085,101.522486686707,26.2045021057129,0.809511661529541,0.273515999317169,106.681269645691,25.8491325378418,0.802560567855835,0.270811289548874,107.060397148132,24.3659057617188,0.776493966579437,0.297676682472229,106.461077690124,26.3426113128662,0.838724672794342,0.23749341070652,107.462229728699,25.1292724609375,0.780999004840851,0.275023549795151,107.19047832489,27.1922245025635,0.842937052249908,0.312528342008591,105.74728679657,26.0911502838135,0.761871039867401,0.32543408870697,97.8906202316284,25.5715274810791,0.753258407115936,0.308381617069244,106.949236869812,25.5034370422363,0.728029727935791,0.353201866149902,99.6159696578979,23.2316474914551,0.773957848548889,0.297504156827927,106.540308952332,26.490442276001,0.885862827301025,0.2944096326828,107.085703849792,23.3161754608154,0.738945782184601,0.358666747808456,107.693774223328,27.2446117401123,0.836560487747192,0.259037226438522,101.900668144226,31.166841506958,0.937591552734375,0.146497189998627,91.717677116394,29.0007915496826,0.88135689496994,0.182908296585083,106.678904533386,25.3185958862305,0.760425925254822,0.32732567191124,106.925349235535,24.4832954406738,0.737815499305725,0.314112484455109,106.535578727722,25.0481739044189,0.824815332889557,0.235572919249535,107.25622844696
Octree-GS,13.8333333333333,23.0478546142578,0.706043817996979,0.339074460466703,79.9792947769165,26.6230017344157,0.793329541683197,0.291744298636913,80.0021982192993,26.6311563746134,0.831026717821757,0.238582784533501,114.507439613342,21.6591261545817,0.652460201183955,0.427360828518867,46.6532793045044,20.3275854365031,0.602927373051643,0.464666913747788,21.4905319213867,21.1678021494548,0.654288194576899,0.440310244560242,13.7639350891113,21.2874138514201,0.584333049456279,0.453168041507403,15.7068099975586,24.322800356547,0.756962468226751,0.409619295597076,7.02821350097656,23.9932985814412,0.682854411204656,0.406505985458692,33.7372446060181,23.6891494496663,0.661040260394414,0.400689598917961,30.3279466629028,24.550373357137,0.65644754588604,0.41659710586071,34.6808061599731,20.5102030309041,0.625481733083725,0.393200018405914,26.8969497680664,25.1989062372843,0.845733932256699,0.348311781088511,13.3378105163574,25.085306892395,0.838298535346985,0.245049784978231,145.552453041077,22.8351616414388,0.619266457160314,0.480894083380699,8.83216094970703,21.7617009607951,0.745633412996928,0.3989619688193,2.18564128875732,25.6056560134888,0.773327672084173,0.300879123608271,39.7509050369263,22.9806787109375,0.653266419569651,0.415943027536074,32.6888093948364,20.8235259628296,0.542101520697276,0.495835808118184,10.8750877380371,22.0341506195068,0.688431693514188,0.390086140433947,86.9407358169556
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
